,,,,,,,,,,,,,,,,,,,Source: Gibson Research Corporation,https://www.grc.com/haystack.htm
,single operator can crack ,"33,100,000,000",passwords / sec,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30.41666,,,,,,,,
length,type,example,keyspace,in words,exactly,,< 1 sec,secs,mins,hrs,days,months,years,centuries,millennia,millions of years,billions of years,trillions of years,,
,,,,,,,,,,,,,,,,,,,,
4,lowercase alphanumeric,l0lz,"1,700,000",1.7 million,"1,727,604",,0.000,,,,,,,,,,,,,
,& uppercase,L0lz,"15,000,000",15 million,"15,018,570",,0.000,,,,,,,,,,,,,
,& symbols,L0l!,"82,000,000",82 million,"82,317,120",,0.002,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,lowercase alphanumeric,hell0,"62,000,000",62 million,"62,193,780",,0.002,,,,,,,,,,,,,
,& uppercase,Hell0,"930,000,000",930 million,"931,151,402",,0.03,,,,,,,,,,,,,
,& symbols,Hel0),"7,800,000,000",7.8 billion,"7,820,126,495",,0.24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,lowercase alphanumeric,sp1der,"2,200,000,000",2.2 billion,"2,238,976,116",,0.07,,,,,,,,,,,,,
,& uppercase,Sp1der,"58,000,000,000",58 billion,"57,731,386,986",,,1.7,,,,,,,,,,,,
,& symbols,Sp1d*r,"740,000,000,000",740 billion,"742,912,017,120 ",,,22.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,lowercase alphanumeric,papr1ka,"81,000,000,000",81 billion,"80,603,140,212",,,2.4,,,,,,,,,,,,
,& uppercase,Papr1ka,"3,600,000,000,000",3.6 trillion,"3,579,345,993,194 ",,,108.14,1.8,,,,,,,,,,,
,& symbols,P@pr1ka,"71,000,000,000,000",71 trillion,"70,576,641,626,495",,,"2,132.22",35.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,lowercase alphanumeric,bearhug5,"2,900,000,000,000",2.9 trillion,"2,901,713,047,668 ",,,87.67,1.5,,,,,,,,,,,
,& uppercase,BearHug5,"220,000,000,000,000",220 trillion,"221,919,451,578,090 ",,,"6,704.52",111.7,1.9,,,,,,,,,,
,& symbols,B3ar Hug,"6,700,000,000,000,000",6.7 quadrillion,"6,704,780,954,517,120 ",,,"202,561.36","3,376.0",56.3,2.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,lowercase alphanumeric,5ocialite,"100,000,000,000,000",100 trillion,"104,461,669,716,084 ",,,"3,155.94",52.6,0.9,,,,,,,,,,
