,,,,,,,,,,,,,,,,,,,Source: Gibson Research Corporation,https://www.grc.com/haystack.htm
,single operator can crack ,"100,000,000,000,000",passwords / sec,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30.41666,,,,,,,,
length,type,example,keyspace,in words,exactly,,< 1 sec,secs,mins,hrs,days,months,years,centuries,millennia,millions of years,billions of years,trillions of years,,
,,,,,,,,,,,,,,,,,,,,
4,lowercase alphanumeric,l0lz,"1,700,000",1.7 million,"1,727,604",,0.000,,,,,,,,,,,,,
,& uppercase,L0lz,"15,000,000",15 million,"15,018,570",,0.000,,,,,,,,,,,,,
,& symbols,L0l!,"82,000,000",82 million,"82,317,120",,0.000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,lowercase alphanumeric,hell0,"62,000,000",62 million,"62,193,780",,0.000,,,,,,,,,,,,,
,& uppercase,Hell0,"930,000,000",930 million,"931,151,402",,0.00,,,,,,,,,,,,,
,& symbols,Hel0),"7,800,000,000",7.8 billion,"7,820,126,495",,0.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,lowercase alphanumeric,sp1der,"2,200,000,000",2.2 billion,"2,238,976,116",,0.00,,,,,,,,,,,,,
,& uppercase,Sp1der,"58,000,000,000",58 billion,"57,731,386,986",,,0.0,,,,,,,,,,,,
,& symbols,Sp1d*r,"740,000,000,000",740 billion,"742,912,017,120 ",,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,lowercase alphanumeric,papr1ka,"81,000,000,000",81 billion,"80,603,140,212",,,0.0,,,,,,,,,,,,
,& uppercase,Papr1ka,"3,600,000,000,000",3.6 trillion,"3,579,345,993,194 ",,,0.04,0.0,,,,,,,,,,,
,& symbols,P@pr1ka,"71,000,000,000,000",71 trillion,"70,576,641,626,495",,,0.71,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,lowercase alphanumeric,bearhug5,"2,900,000,000,000",2.9 trillion,"2,901,713,047,668 ",,,0.03,0.0,,,,,,,,,,,
,& uppercase,BearHug5,"220,000,000,000,000",220 trillion,"221,919,451,578,090 ",,,2.22,0.0,0.0,,,,,,,,,,
,& symbols,B3ar Hug,"6,700,000,000,000,000",6.7 quadrillion,"6,704,780,954,517,120 ",,,67.05,1.1,0.0,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,lowercase alphanumeric,5ocialite,"100,000,000,000,000",100 trillion,"104,461,669,716,084 ",,,1.04,0.0,0.0,,,,,,,,,,
,& uppercase,5OCIALite,"13,800,000,000,000,000",13.8 quadrillion,"13,759,005,997,841,642 ",,,137.59,2.3,0.0,0.0,,,,,,,,,
,& symbols,5OCIAL!te,"640,000,000,000,000,000",640 quadrillion,"636,954,190,679,126,495 ",,,"6,369.54",106.2,1.8,0.1,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
